station_id,city,region,year,month,temperature,rainfall
BJ001,北京,华北,2024,1,-1.6,0
BJ001,北京,华北,2024,2,0.3,0
BJ001,北京,华北,2024,3,8.7,17.3
BJ001,北京,华北,2024,4,17.2,12.6
BJ001,北京,华北,2024,5,21.8,25.9
BJ001,北京,华北,2024,6,25.2,80.2
BJ001,北京,华北,2024,7,26.6,171.0
BJ001,北京,华北,2024,8,27.4,161.3
BJ001,北京,华北,2024,9,21.2,62.7
BJ001,北京,华北,2024,10,15.9,10.2
BJ001,北京,华北,2024,11,6.9,17.9
BJ001,北京,华北,2024,12,-1.5,0
TJ001,天津,华北,2024,1,-0.6,0.1
TJ001,天津,华北,2024,2,-0.2,0
TJ001,天津,华北,2024,3,9.0,15.1
TJ001,天津,华北,2024,4,16.9,31.9
TJ001,天津,华北,2024,5,22.1,54.2
TJ001,天津,华北,2024,6,25.6,81.6
TJ001,天津,华北,2024,7,29.0,183.6
TJ001,天津,华北,2024,8,28.1,162.3
TJ001,天津,华北,2024,9,22.6,46.4
TJ001,天津,华北,2024,10,14.2,18.7
TJ001,天津,华北,2024,11,4.7,4.0
TJ001,天津,华北,2024,12,-2.2,0
SH001,上海,华东,2024,1,4.4,45.9
SH001,上海,华东,2024,2,5.6,51.3
SH001,上海,华东,2024,3,9.3,103.1
SH001,上海,华东,2024,4,16.4,113.3
SH001,上海,华东,2024,5,20.0,136.9
SH001,上海,华东,2024,6,24.0,196.4
SH001,上海,华东,2024,7,29.5,184.2
SH001,上海,华东,2024,8,28.2,175.5
SH001,上海,华东,2024,9,25.0,138.3
SH001,上海,华东,2024,10,17.2,66.0
SH001,上海,华东,2024,11,11.4,53.0
SH001,上海,华东,2024,12,5.1,58.3
HZ001,杭州,华东,2024,1,5.1,44.4
HZ001,杭州,华东,2024,2,6.5,56.9
HZ001,杭州,华东,2024,3,11.2,88.8
HZ001,杭州,华东,2024,4,15.3,102.4
HZ001,杭州,华东,2024,5,21.2,122.9
HZ001,杭州,华东,2024,6,25.3,211.9
HZ001,杭州,华东,2024,7,27.7,171.6
HZ001,杭州,华东,2024,8,29.5,170.3
HZ001,杭州,华东,2024,9,22.8,116.4
HZ001,杭州,华东,2024,10,16.8,83.8
HZ001,杭州,华东,2024,11,12.9,57.7
HZ001,杭州,华东,2024,12,4.7,41.4
GZ001,广州,华南,2024,1,14.5,40.9
GZ001,广州,华南,2024,2,16.4,70.8
GZ001,广州,华南,2024,3,16.5,86.6
GZ001,广州,华南,2024,4,22.5,181.1
GZ001,广州,华南,2024,5,25.3,254.2
GZ001,广州,华南,2024,6,26.8,278.0
GZ001,广州,华南,2024,7,28.9,233.6
GZ001,广州,华南,2024,8,29.1,242.9
GZ001,广州,华南,2024,9,27.0,170.4
GZ001,广州,华南,2024,10,25.2,91.1
GZ001,广州,华南,2024,11,18.4,54.2
GZ001,广州,华南,2024,12,14.3,24.6
HK001,海口,华南,2024,1,13.8,41.2
HK001,海口,华南,2024,2,15.8,60.9
HK001,海口,华南,2024,3,16.5,74.7
HK001,海口,华南,2024,4,20.6,192.9
HK001,海口,华南,2024,5,27.1,259.9
HK001,海口,华南,2024,6,27.4,266.7
HK001,海口,华南,2024,7,30.1,233.4
HK001,海口,华南,2024,8,26.8,249.6
HK001,海口,华南,2024,9,25.7,187.8
HK001,海口,华南,2024,10,24.8,68.9
HK001,海口,华南,2024,11,18.9,51.5
HK001,海口,华南,2024,12,13.3,46.2
KM001,昆明,西南,2024,1,7.8,6.4
KM001,昆明,西南,2024,2,9.1,26.9
KM001,昆明,西南,2024,3,12.1,24.4
KM001,昆明,西南,2024,4,17.5,64.5
KM001,昆明,西南,2024,5,18.8,110.5
KM001,昆明,西南,2024,6,19.9,171.7
KM001,昆明,西南,2024,7,21.5,222.6
KM001,昆明,西南,2024,8,20.2,191.6
KM001,昆明,西南,2024,9,18.7,133.9
KM001,昆明,西南,2024,10,15.2,92.2
KM001,昆明,西南,2024,11,13.1,17.1
KM001,昆明,西南,2024,12,8.2,20.1
